profile,scale,phi_total,phi_target,Lambda_numerical,Lambda_theory,rel_error,rel_error_pct
constant,2.492852586554453,2.193861628092264,2.1938616280922627,0.1604551714282541,0.16045517142825402,5.189407490310659e-16,5.1894074903106587e-14
gaussian,3.160283437236467,2.1938616280922636,2.1938616280922627,0.16045517142825405,0.16045517142825408,1.729802496770219e-16,1.729802496770219e-14
oscillating,4.467833440294812,2.193861628092262,2.1938616280922627,0.16045517142825444,0.1604551714282543,8.649012483851083e-16,8.649012483851083e-14
