split_id,n_train,n_test,mae_base,mae_full,mae_gain_frac,intercept_base,intercept_full,coef_base_ctrl,coef_full_ctrl,coef_full_lambda
0,3650,730,0.8337612193836705,0.827379470634499,0.007654168364752391,-0.08628174376166602,-0.083352120458764,-0.21882706271199912,-0.21726488953503795,-1457.1625867620198
1,3650,730,0.7019333766083354,0.7052449248705472,-0.004717752955712297,-0.020679689834100626,-0.016852742201588132,-0.2433030378619978,-0.24199509401264876,-2092.8836098340016
2,3650,730,0.7222965587847558,0.7166805233797277,0.00777524873504762,-0.018122461678816655,-0.016153103200970974,-0.20881288773913967,-0.20782320652646832,-1437.1965486896004
3,3650,730,0.819303556655796,0.8183794755077767,0.0011278861668684726,0.05394725313867363,0.05650482687944011,-0.21523790036727017,-0.21538611944193622,-1780.4530307079356
4,3650,730,0.8262971802672656,0.8271493579646343,-0.0010313210763856224,-0.01786060090043932,-0.014758860983671414,-0.22189199416165176,-0.2214232798197349,-1939.6033290481564
5,3650,730,0.9077114680841819,0.9000529752736859,0.008437144488932829,0.08977860129180958,0.08978306930474186,-0.21012016600307384,-0.211048246270852,-1028.4049761227075
