band_id,field,mode_rank,ky_idx,kx_idx,mean_power,wavelength_km,scale_center_km,mu
0,iwv,0,28,79,3561.336563058573,46.31423991378432,35.35533905932738,5.5
0,iwv,1,29,79,2585.8593544461223,45.76571129661623,35.35533905932738,5.5
0,iwv,2,43,53,2545.9997826827985,48.50497588469259,35.35533905932738,5.5
0,iwv,3,56,80,2398.2401012082564,47.52344033322998,35.35533905932738,5.5
0,iwv,4,54,74,2292.2040697645903,48.96082806061008,35.35533905932738,5.5
0,iwv,5,48,64,2187.089530549176,48.83743932655644,35.35533905932738,5.5
0,ivt_u,0,33,79,114928.93367794318,43.587379394695496,35.35533905932738,5.5
0,ivt_u,1,24,80,111795.01510673489,48.050732478325074,35.35533905932738,5.5
0,ivt_u,2,60,80,106074.28418959337,49.59953319871624,35.35533905932738,5.5
0,ivt_u,3,29,79,102671.3894670736,45.76571129661623,35.35533905932738,5.5
0,ivt_u,4,57,80,102380.16482908638,48.050732478325074,35.35533905932738,5.5
0,ivt_u,5,25,77,101987.50577034224,48.83789622709051,35.35533905932738,5.5
0,ivt_v,0,43,62,63328.458222384266,45.800890757510885,35.35533905932738,5.5
0,ivt_v,1,52,80,54649.28855830888,45.38995037631516,35.35533905932738,5.5
0,ivt_v,2,43,56,54569.67633524401,47.59949411678301,35.35533905932738,5.5
0,ivt_v,3,44,62,54073.190833682434,46.52848119580054,35.35533905932738,5.5
0,ivt_v,4,43,80,51296.02540918328,40.6789794660884,35.35533905932738,5.5
0,ivt_v,5,46,61,50713.38790384406,48.372262273556,35.35533905932738,5.5
0,p_minus_e,0,39,45,0.00026414087722427467,49.93231262999568,35.35533905932738,5.5
0,p_minus_e,1,40,42,0.0002577933642397315,49.77423881378927,35.35533905932738,5.5
0,p_minus_e,2,41,43,0.0002482262066452842,49.5146456895272,35.35533905932738,5.5
0,p_minus_e,3,40,43,0.00024736276564707454,49.5146456895272,35.35533905932738,5.5
0,p_minus_e,4,41,42,0.00024731813976268017,49.77423881378927,35.35533905932738,5.5
0,p_minus_e,5,41,44,0.00024237846377110758,49.25310637994346,35.35533905932738,5.5
0,vorticity,0,60,80,2.2705737076571682e-07,49.59953319871624,35.35533905932738,5.5
0,vorticity,1,21,80,1.4900678368269562e-07,49.59953319871624,35.35533905932738,5.5
0,vorticity,2,57,80,1.4541341711822792e-07,48.050732478325074,35.35533905932738,5.5
0,vorticity,3,22,79,1.4259146805924091e-07,49.56641867872371,35.35533905932738,5.5
0,vorticity,4,56,79,1.318375672770257e-07,47.9552345395823,35.35533905932738,5.5
0,vorticity,5,59,80,1.3145709592108905e-07,49.090062243148004,35.35533905932738,5.5
1,iwv,0,25,0,1919519.1204174382,90.0678905820928,70.71067811865476,4.5
1,iwv,1,56,0,1919519.120417438,90.0678905820928,70.71067811865476,4.5
1,iwv,2,23,0,1883282.6728338026,97.89988106749217,70.71067811865476,4.5
1,iwv,3,58,0,1883282.6728337996,97.89988106749217,70.71067811865476,4.5
1,iwv,4,24,0,1789131.4567143833,93.82071935634666,70.71067811865476,4.5
1,iwv,5,57,0,1789131.4567143824,93.82071935634666,70.71067811865476,4.5
1,ivt_u,0,23,0,1587692704.6962156,97.89988106749217,70.71067811865476,4.5
1,ivt_u,1,58,0,1587692704.696214,97.89988106749217,70.71067811865476,4.5
1,ivt_u,2,24,0,1473490140.2054384,93.82071935634666,70.71067811865476,4.5
1,ivt_u,3,57,0,1473490140.2054367,93.82071935634666,70.71067811865476,4.5
1,ivt_u,4,56,0,1317360020.803123,90.0678905820928,70.71067811865476,4.5
1,ivt_u,5,25,0,1317360020.8031228,90.0678905820928,70.71067811865476,4.5
1,ivt_v,0,23,0,111990748.59089708,97.89988106749217,70.71067811865476,4.5
1,ivt_v,1,58,0,111990748.59089695,97.89988106749217,70.71067811865476,4.5
1,ivt_v,2,24,0,105510317.3882484,93.82071935634666,70.71067811865476,4.5
1,ivt_v,3,57,0,105510317.38824834,93.82071935634666,70.71067811865476,4.5
1,ivt_v,4,25,0,99792898.05531342,90.0678905820928,70.71067811865476,4.5
1,ivt_v,5,56,0,99792898.05531342,90.0678905820928,70.71067811865476,4.5
1,p_minus_e,0,24,0,0.0067706748379071395,93.82071935634666,70.71067811865476,4.5
1,p_minus_e,1,57,0,0.006770674837907139,93.82071935634666,70.71067811865476,4.5
1,p_minus_e,2,23,0,0.006093361339605754,97.89988106749217,70.71067811865476,4.5
1,p_minus_e,3,58,0,0.006093361339605753,97.89988106749217,70.71067811865476,4.5
1,p_minus_e,4,25,0,0.005864650877771942,90.0678905820928,70.71067811865476,4.5
1,p_minus_e,5,56,0,0.00586465087777194,90.0678905820928,70.71067811865476,4.5
1,vorticity,0,23,2,9.841814908579648e-06,97.80632931710164,70.71067811865476,4.5
1,vorticity,1,57,8,7.173942946134139e-06,92.5286078232295,70.71067811865476,4.5
1,vorticity,2,59,16,7.159897442176628e-06,96.1178257102427,70.71067811865476,4.5
1,vorticity,3,63,27,7.08343190966078e-06,99.85172027551882,70.71067811865476,4.5
1,vorticity,4,56,7,6.992185518418078e-06,89.18731077908365,70.71067811865476,4.5
1,vorticity,5,56,8,6.705432934339713e-06,88.92286669482075,70.71067811865476,4.5
2,iwv,0,12,0,5748219.560653844,187.64143871269331,141.4213562373095,3.5
2,iwv,1,69,0,5748219.560653842,187.64143871269331,141.4213562373095,3.5
2,iwv,2,67,0,5106686.787785551,160.8355188965943,141.4213562373095,3.5
2,iwv,3,14,0,5106686.78778555,160.8355188965943,141.4213562373095,3.5
