case_id,profile,alpha1,alpha2,delta_alpha,lambda_matter_w1_mean,lm_w1_times_delta_alpha,lambda_vac_w1_mean,state_spread_phi90,lambda_w_g2_mean,coh_ptr_g2_mean,jump_rate_g2_mean,lambda_eff_raw,clausius_r2,lambda_eff_proxy
0,constant,0.294427972621385,0.6783440117109198,0.38391603908953487,0.5187900106278728,0.19917180599947062,0.3839160390895349,1.0371269774896992,0.016961203522226492,0.09764322464215403,0.003117283950617284,11.706272421367117,0.4977650580501829,1.2653664450321183
1,constant,0.10202108973126586,0.8947734300737816,0.7927523403425157,0.8354600416428138,0.6623129032749964,0.7927523403425157,1.4925765211582884,-0.027692407175603003,0.009636126758707607,0.004043209876543209,-10.176597862189606,0.5459898523352205,-1.3179223805194613
2,oscillating,0.3147626609222433,0.6549897237517672,0.340227062829524,0.5779306645751511,0.19662765252751846,0.3402270628295239,1.0573190862250355,0.04158007454688205,0.0827308653133211,0.00324074074074074,-1.185377722234393,0.009736763801052817,-0.0076120917603423755
3,oscillating,0.141339486400201,0.8926198572836893,0.7512803708834883,0.7858345055739814,0.5903820388006634,0.7512803708834883,1.4351554073019532,-0.03092989483317849,0.030014633318269774,0.0038888888888888888,-3.167551837424615,0.03594263308683976,-0.051301954420315286
4,oscillating,0.2526503613274027,0.7030674890765368,0.4504171277491341,0.5925459418503024,0.26689284118761863,0.4504171277491341,1.0603916649386942,0.011280131817925547,0.11025950606378841,0.0033641975308641974,0.7415096827832668,0.010200684307373309,0.005658853803637448
5,constant,0.30954947689843665,0.6384295413264752,0.3288800644280386,0.4846129967743379,0.1593795536018091,0.3288800644280386,1.0846891979458209,0.025920179519631825,0.07806502045140294,0.003333333333333333,12.397717753165452,0.8176342031578563,2.1218297455084287
6,gaussian,0.23773361925673528,0.7577996097094976,0.5200659904527623,0.6630096594617942,0.3448087752277466,0.5200659904527623,1.1535967386399486,-0.00011471744311063698,0.10982380332317353,0.0036728395061728395,1.3605128888723617,0.026955280777359758,0.023151322475215695
7,constant,0.1464469927892796,0.8699903840614189,0.7235433912721393,0.7427404635670964,0.5374049538443778,0.7235433912721393,1.3942681670010657,-0.036180010729424984,0.04343367124700759,0.004197530864197531,-9.267467791539103,0.961364856363933,-2.2389999364753455
8,oscillating,0.2897694321649273,0.7138774648223007,0.4241080326573734,0.5352854346631659,0.2270188526051423,0.42410803265737346,1.0175009578454621,0.013537685398190363,0.10678255203390045,0.00324074074074074,-1.482673052085994,0.03683988358555401,-0.03349982587067908
9,constant,0.18397915702115905,0.8712404352371397,0.6872612782159806,0.7825567325507542,0.5378209402893526,0.6872612782159807,1.36490211484035,-0.04327151097613158,0.06018408858433145,0.0035185185185185176,-8.336729476459235,0.9998184861935959,-2.233550533937389
10,gaussian,0.3190788178096886,0.6348644853431897,0.3157856675335012,0.5086430972452332,0.1606221999998935,0.3157856675335011,1.0894576011931494,0.001343091535604215,0.07230558696228796,0.002777777777777778,5.882982427673317,0.18395415654285818,0.3548571428602489
11,oscillating,0.283877058064319,0.6894420537341481,0.4055649956698292,0.5924736707829418,0.24028658172557157,0.4055649956698291,1.0117294975558762,0.023732107180189557,0.10313393936311825,0.003425925925925926,0.6943894695920474,0.006305824562396589,0.0033252030530926627
12,constant,0.12271073803072355,0.9631380286466735,0.84042729061595,0.7930390306486106,0.6664916438807111,0.8404272906159501,1.533645482913496,-0.033594466950096775,0.013273690029036746,0.003734567901234567,-9.612607752337741,0.9429458976770464,-2.227278478749401
