profile,n_cases,r2,intercept,coef_lm_w1_times_delta_alpha,coef_delta_alpha,coef_lambda_w_g2_mean
constant,16,0.9494225415471248,1.305035595022983,8.041182689630094,-7.683966765863714,70.39267897666208
gaussian,16,0.7155999621245841,0.14901087679587216,3.498572655359217,-2.807982882751473,632.3584369072846
oscillating,16,0.5984765477865328,0.22169649771097116,0.10791540233019078,-0.5511988903140301,-1.1452892383824755
