seed_case,epsilon,a_1_over_Teff_from_Shor,r2_Shor,b_Shor,mean_jump,mean_Lambda_w,mean_Coh_ptr_w
20261008,0.05,0.0986291492608507,0.002077375775636492,0.0028481738710392133,0.003977272727272729,-0.024271590678564492,0.9704194543754648
20261009,0.05,0.11127702389604496,0.0028447904136638114,0.00284657765106122,0.003965909090909091,-0.024271590678564492,0.9704194543754646
20261005,0.05,0.16213374766534475,0.005738728814142724,0.0028180204529435534,0.003954545454545455,-0.024271590678564492,0.9704194543754648
20261006,0.05,0.13248022392456377,0.0057436713744635215,0.002818918644991674,0.003960227272727273,-0.024271590678564492,0.9704194543754648
20261003,0.05,0.19171219350403904,0.00938746791002576,0.0028028614153032764,0.0039375,-0.024271590678564492,0.9704194543754648
20261002,0.05,0.2769474876324699,0.017058741435323488,0.0028053707336404775,0.0040170454545454546,-0.024271590678564492,0.9704194543754648
20261001,0.05,0.27551445060713786,0.017595963967462436,0.002851813968286015,0.0039886363636363635,-0.024271590678564492,0.9704194543754646
20261004,0.05,0.35339767667990457,0.040546639376007554,0.002684653907763681,0.0038806818181818183,-0.024271590678564492,0.9704194543754648
20261000,0.05,0.3555861475493767,0.04137701847205577,0.002745583425625226,0.003960227272727273,-0.024271590678564492,0.9704194543754648
20261007,0.05,0.4160752092287532,0.04928234761353578,0.0026808821486269973,0.0039204545454545455,-0.024271590678564492,0.9704194543754648
20261009,0.15,0.5828728495957604,0.09735878243587859,0.0024604313122710704,0.0038409090909090914,-0.024271590678564492,0.9704194543754648
20261003,0.15,0.5870507403558778,0.1078669429682938,0.0024583931505753535,0.0038806818181818183,-0.024271590678564492,0.9704194543754648
20261004,0.15,0.6623815151476908,0.12919407183841725,0.0024759477268897073,0.003994318181818181,-0.024271590678564492,0.9704194543754648
20261001,0.15,0.6510142146522795,0.13832077891303363,0.0025057159575384504,0.004034090909090909,-0.024271590678564492,0.9704194543754648
20261007,0.15,0.8018289960566046,0.15346823983323732,0.0024855941255561642,0.0039204545454545455,-0.024271590678564492,0.9704194543754648
