seed_case,epsilon,a_1_over_Teff_from_Shor,r2_Shor,b_Shor,mean_jump,mean_Lambda_w,mean_Coh_ptr_w
20261000,0.05,0.3555861475493767,0.04137701847205577,0.002745583425625226,0.003960227272727273,-0.024271590678564492,0.9704194543754648
20261000,0.15,0.9545949488958201,0.26217340558583113,0.0022295846005606227,0.003994318181818182,-0.024271590678564492,0.9704194543754648
20261000,0.3,1.1438263199750123,0.45431024025996847,0.0016578262721350773,0.004068181818181818,-0.024271590678564492,0.9704194543754648
20261000,0.6,0.9339636238154614,0.8161742216869594,0.0005311657664214888,0.003914772727272728,-0.024271590678564492,0.9704194543754648
20261001,0.05,0.27551445060713786,0.017595963967462436,0.002851813968286015,0.0039886363636363635,-0.024271590678564492,0.9704194543754646
20261001,0.15,0.6510142146522795,0.13832077891303363,0.0025057159575384504,0.004034090909090909,-0.024271590678564492,0.9704194543754648
20261001,0.3,1.2033336461223467,0.4346715298964545,0.001330852462818192,0.003926136363636365,-0.024271590678564492,0.9704194543754648
20261001,0.6,0.9500507120782637,0.7890286639280538,0.0005477206220875221,0.0039034090909090915,-0.024271590678564492,0.9704194543754648
20261002,0.05,0.2769474876324699,0.017058741435323488,0.0028053707336404775,0.0040170454545454546,-0.024271590678564492,0.9704194543754648
20261002,0.15,0.7632857906438577,0.18514211861914875,0.0023847089059905193,0.004028409090909092,-0.024271590678564492,0.9704194543754646
20261002,0.3,1.080099390218703,0.48919714348808563,0.0014307223673977502,0.003931818181818182,-0.024271590678564492,0.9704194543754648
20261002,0.6,0.9055862225523512,0.7233229466204896,0.0007060385430475394,0.004028409090909091,-0.024271590678564492,0.9704194543754648
20261003,0.05,0.19171219350403904,0.00938746791002576,0.0028028614153032764,0.0039375,-0.024271590678564492,0.9704194543754648
20261003,0.15,0.5870507403558778,0.1078669429682938,0.0024583931505753535,0.0038806818181818183,-0.024271590678564492,0.9704194543754648
20261003,0.3,0.9986395375473954,0.4487892881229826,0.0016823708926919916,0.003954545454545455,-0.024271590678564492,0.9704194543754648
20261003,0.6,0.8907421974836934,0.7458678768979013,0.0007476270332214068,0.003926136363636364,-0.024271590678564492,0.9704194543754648
20261004,0.05,0.35339767667990457,0.040546639376007554,0.002684653907763681,0.0038806818181818183,-0.024271590678564492,0.9704194543754648
20261004,0.15,0.6623815151476908,0.12919407183841725,0.0024759477268897073,0.003994318181818181,-0.024271590678564492,0.9704194543754648
20261004,0.3,0.9608388760116916,0.34642191781385423,0.0017736784018517375,0.003943181818181818,-0.024271590678564492,0.9704194543754648
20261004,0.6,0.8629778122477711,0.7034762751258292,0.0007980885825640333,0.003994318181818181,-0.024271590678564492,0.9704194543754648
20261005,0.05,0.16213374766534475,0.005738728814142724,0.0028180204529435534,0.003954545454545455,-0.024271590678564492,0.9704194543754648
20261005,0.15,0.7485765004588824,0.17592164767522123,0.0024040650758765923,0.00397159090909091,-0.024271590678564492,0.9704194543754648
20261005,0.3,1.0735748101729536,0.4492660451245898,0.001572563379884597,0.003931818181818182,-0.024271590678564492,0.9704194543754648
20261005,0.6,1.0159403999234127,0.81468988407966,0.0005030856689537674,0.003914772727272728,-0.024271590678564492,0.9704194543754648
20261006,0.05,0.13248022392456377,0.0057436713744635215,0.002818918644991674,0.003960227272727273,-0.024271590678564492,0.9704194543754648
20261006,0.15,0.7078915214967151,0.18631903240518322,0.0023599432162447415,0.003965909090909091,-0.024271590678564492,0.9704194543754648
20261006,0.3,1.0394426653129722,0.49539673606027534,0.0016719288573212572,0.004045454545454546,-0.024271590678564492,0.9704194543754648
20261006,0.6,0.9508882143168803,0.743957976224816,0.0005806995575037037,0.004051136363636364,-0.024271590678564492,0.9704194543754648
20261007,0.05,0.4160752092287532,0.04928234761353578,0.0026808821486269973,0.0039204545454545455,-0.024271590678564492,0.9704194543754648
20261007,0.15,0.8018289960566046,0.15346823983323732,0.0024855941255561642,0.0039204545454545455,-0.024271590678564492,0.9704194543754648
20261007,0.3,1.1387051828449026,0.5658568723184034,0.001509245343115408,0.003982954545454546,-0.024271590678564492,0.9704194543754646
20261007,0.6,0.917340315642044,0.7719614853397936,0.000598314094560646,0.003971590909090909,-0.024271590678564492,0.9704194543754648
20261008,0.05,0.0986291492608507,0.002077375775636492,0.0028481738710392133,0.003977272727272729,-0.024271590678564492,0.9704194543754648
20261008,0.15,0.8126498782012075,0.16993322143493816,0.0023808733769715897,0.003926136363636363,-0.024271590678564492,0.9704194543754648
20261008,0.3,0.9248280468551897,0.29500787999843625,0.0016588134994415676,0.003937500000000001,-0.024271590678564492,0.9704194543754646
20261008,0.6,0.9444462455411944,0.762156462911831,0.0005841260089626761,0.003801136363636364,-0.024271590678564492,0.9704194543754646
20261009,0.05,0.11127702389604496,0.0028447904136638114,0.00284657765106122,0.003965909090909091,-0.024271590678564492,0.9704194543754646
20261009,0.15,0.5828728495957604,0.09735878243587859,0.0024604313122710704,0.0038409090909090914,-0.024271590678564492,0.9704194543754648
20261009,0.3,1.0909783376432427,0.4136188704725976,0.001558308740357943,0.0038920454545454553,-0.024271590678564492,0.9704194543754648
20261009,0.6,0.9673822908525898,0.7950177962219538,0.0005300683977796852,0.004045454545454546,-0.024271590678564492,0.9704194543754648
