profile,phi_total,Lambda_numerical,Lambda_theory,rel_error_%
constant,1.0,0.33658839392315865,0.33658839392315865,0.0
gaussian,0.49509812916492213,0.19004719983133883,0.19004719983133883,0.0
oscillating,-0.1891967745147732,-0.07522802532396572,-0.07522802532396572,0.0
