x,k,lambda_before,lambda_after,delta_lambda,abs_delta_lambda
6,25,-0.026188169641218395,-0.026188169641218402,-6.938893903907228e-18,6.938893903907228e-18
5,17,0.11584609895428216,0.11584609895428218,1.3877787807814457e-17,1.3877787807814457e-17
7,17,-0.2696772301104736,-0.2696772301104736,0.0,0.0
3,24,-0.12523459619319932,-0.12523459619319932,0.0,0.0
3,6,0.013583883540534053,0.013583883540534079,2.6020852139652106e-17,2.6020852139652106e-17
0,21,0.035165716101473274,0.03516571610147322,-5.551115123125783e-17,5.551115123125783e-17
3,5,-0.022180690099093084,-0.022180690099093077,6.938893903907228e-18,6.938893903907228e-18
1,22,0.04519029193098753,0.045190291930987544,1.3877787807814457e-17,1.3877787807814457e-17
0,27,0.06618560072498213,0.06618560072498217,4.163336342344337e-17,4.163336342344337e-17
5,22,-0.054177054081467585,-0.05417705408146759,-6.938893903907228e-18,6.938893903907228e-18
5,3,-0.011269116536354741,-0.011269116536354741,0.0,0.0
5,5,0.045190808094809576,0.04519080809480943,-1.457167719820518e-16,1.457167719820518e-16
7,15,0.17694213757203367,0.17694213757203378,1.1102230246251565e-16,1.1102230246251565e-16
5,27,-0.043077651467784805,-0.04307765146778479,1.3877787807814457e-17,1.3877787807814457e-17
2,4,0.06318082621637948,0.06318082621637955,6.938893903907228e-17,6.938893903907228e-17
0,17,-0.09166125129190571,-0.0916612512919057,1.3877787807814457e-17,1.3877787807814457e-17
7,7,-0.11437346631464147,-0.11437346631464151,-4.163336342344337e-17,4.163336342344337e-17
0,2,-0.06658091423587836,-0.06658091423587839,-2.7755575615628914e-17,2.7755575615628914e-17
5,26,-0.10524734024518524,-0.10524734024518537,-1.249000902703301e-16,1.249000902703301e-16
1,8,0.030498244445034302,0.03049824444503432,1.734723475976807e-17,1.734723475976807e-17
7,11,0.2985395938327444,0.2985395938327444,0.0,0.0
3,28,-0.1439817147244443,-0.14398171472444435,-5.551115123125783e-17,5.551115123125783e-17
5,14,0.05042705519632407,0.05042705519632404,-3.469446951953614e-17,3.469446951953614e-17
3,19,0.1923410430892186,0.19234104308921865,5.551115123125783e-17,5.551115123125783e-17
1,28,-0.04647903629383911,-0.04647903629383917,-6.245004513516506e-17,6.245004513516506e-17
5,10,-0.09193572974813824,-0.09193572974813813,1.1102230246251565e-16,1.1102230246251565e-16
5,2,0.025264406650363787,0.025264406650363763,-2.42861286636753e-17,2.42861286636753e-17
5,25,-0.19660405042215803,-0.196604050422158,2.7755575615628914e-17,2.7755575615628914e-17
2,24,-0.049837015444429825,-0.04983701544442983,-6.938893903907228e-18,6.938893903907228e-18
1,23,0.043873509964744956,0.043873509964744956,0.0,0.0
7,9,0.1700346445184644,0.17003464451846428,-1.1102230246251565e-16,1.1102230246251565e-16
1,3,-0.029512931444532285,-0.029512931444532313,-2.7755575615628914e-17,2.7755575615628914e-17
7,20,-0.5499666919015425,-0.5499666919015427,-2.220446049250313e-16,2.220446049250313e-16
