model,quarters,gain_all_mean,gain_all_std,gain_extreme_mean,gain_non_extreme_mean,gain_min,gain_max
horizontal_regime,4,0.14452848550935876,0.12108772681397396,0.18059968712108054,0.15017241326337327,0.024342013721705597,0.2695086378132119
vertical_regime,4,0.1439417572664533,0.12173709991244586,0.18055218431418002,0.1492232643568424,0.02251309711475872,0.26955706291333825
vertical_global,4,0.0032237017318152484,0.009802381459354765,-0.003138872730444041,0.007339813304714587,-0.002427287449342719,0.017891979001653433
horizontal_global,4,0.0031731251675666708,0.010144725545163812,-0.0034899041392319795,0.007455869049607489,-0.0026857770049079437,0.018363483334500802
