profile,n_cases,r2,intercept,coef_lm_w1_times_delta_alpha,coef_delta_alpha,coef_lambda_w_g2_mean
constant,16,0.9644164738496683,2.104242417328978,10.307623941864458,-10.723563097380774,54.70128365390093
gaussian,16,0.6134173463565855,-0.1434687664900596,1.0720214117656808,-0.1571480635185623,685.1528613575947
oscillating,16,0.4037501921770231,-0.2899307965598101,-0.49585911367607005,0.8849434815694484,3.6187156418709336
