perm_id,stat_perm_median_test_r2
0,-0.07105165720096773
1,-0.2649668369535594
2,-0.21587263165751236
3,-0.18579104593645157
4,-0.062116491194613155
5,-0.21717715706766771
6,-0.044643010309694864
7,-0.14398025672374548
8,-0.20993050584077855
9,-0.24643667668491576
10,-0.2841313962124078
11,-0.07972332726226727
12,-0.3275542992085746
13,-0.2508941524436923
14,-0.19290031484035153
15,-0.38693073518355925
16,-0.15527944243655267
17,-0.14651988166497965
18,-0.24273129304966712
19,-0.2791106182080654
20,-0.1839312028111566
21,-0.22368198139167916
22,-0.26059272514478127
23,-0.22774674016192709
24,-0.1483827831302379
25,-0.18446774018269496
26,-0.24904180804160647
27,-0.15858054948829048
28,-0.22074240850307592
29,-0.11175806838275937
30,0.0017395758650320392
31,-0.30426925201250254
32,-0.12076844538806308
33,-0.19596752154883013
34,-0.19892784641510586
35,-0.20755827222329237
36,-0.23827347634602403
37,-0.1883721044913491
38,-0.19965615583348495
39,-0.12432459055705292
40,-0.1446467755162344
41,-0.071952227515307
42,-0.021706145388548037
43,-0.19309512880658763
44,-0.14219956932362698
45,-0.2714891688079438
46,-0.2591996227443055
47,-0.18698442023360362
48,-0.7171677043748463
49,-0.16414424148886797
50,-0.07238558887299906
51,-0.13768850107325492
52,-0.016249052196139036
53,-0.059622019103631185
54,-0.11760657018375176
55,-0.20530169545134247
56,-0.1982033420719289
57,-0.10591838095112949
58,-0.2241319581450396
59,-0.17433508479924897
60,-0.2595347755622126
61,-0.11674271214872611
62,-0.08064686904682405
63,-0.1946507549655222
64,-0.24352868568169284
65,-0.10557165282935077
66,-0.22243014058074484
67,-0.10291842431698106
68,-0.3216209852358767
69,-0.11500882707387339
70,-0.3421053875834912
71,-0.23346203325133075
72,-0.6062085241969197
73,-0.017400054187675484
74,-0.07303436533982488
75,-0.0866329546718535
76,-0.19911154890054084
77,-0.20900477674339457
78,-0.26092638920206435
79,-0.43889708961459684
80,-0.1711286782267053
81,-0.13724947097116635
82,-0.18472728754914935
83,-0.2252497920619858
84,-0.29453722685364936
85,0.0520869966951622
86,-0.3016212193580564
87,-0.2003184347146857
88,-0.35076248235957563
89,-0.15592601816418317
90,-0.20962069061570765
91,-0.1816294051936479
92,-0.292840341015439
93,-0.07246685000635089
94,-0.18054209370979668
95,-0.12630247321126953
96,-0.1416961612563823
97,-0.0820776417032445
98,-0.25575042763699773
99,-0.17318548335764838
