n,omega_profile,dmu_mcwf,Delta_mu,K_layers,Gamma,p_jump,Ntraj,dS_hor_avg,dQ_avg,dQ_in,S_ens,dS_ens,jump_rate_emp,Lambda_w,Lambda_unw,Coh_ptr_w,layer_mean
0,constant,0.03,2.0,48,0.12048702188844432,0.0036146106566533292,360,0.016676478443488407,0.00023081806712334506,-0.00023081806712334506,0.019124205152124058,0.019124205152120644,0.002777777777777778,0.015687273614336816,0.13273214554571477,0.09407907878311236,0.13333333333333333
1,constant,0.03,2.0,48,0.12048702188844432,0.0036146106566533292,360,0.0,0.0,-0.0,0.019124205152124058,0.0,0.0,0.015687273614336816,0.13273214554571477,0.09407907878311236,0.13333333333333333
2,constant,0.03,2.0,48,0.12048702188844432,0.0036146106566533292,360,0.016676478443488407,0.00023081806712334476,-0.00023081806712334476,0.034389855081906257,0.015265649929782198,0.002777777777777778,0.015687273614336816,0.13236241812079635,0.09407907878311236,0.26666666666666666
3,constant,0.03,2.0,48,0.12048702188844432,0.0036146106566533292,360,0.06670591377395363,0.0009232722684933806,-0.0009232722684933806,0.08476607571481082,0.05037622063290456,0.011111111111111112,0.015687273614336816,0.13088350842112265,0.09407907878311239,0.8
4,constant,0.03,2.0,48,0.12048702188844432,0.0036146106566533292,360,0.016676478443488407,0.0002308180671233454,-0.0002308180671233454,0.09586904494782093,0.011102969233010115,0.002777777777777778,0.01568727361433682,0.13051378099620423,0.09407907878311239,0.9333333333333333
5,constant,0.03,2.0,48,0.12048702188844432,0.0036146106566533292,360,0.0,0.0,-0.0,0.09586904494782093,0.0,0.0,0.01568727361433682,0.13051378099620423,0.09407907878311239,0.9333333333333333
6,constant,0.03,2.0,48,0.12048702188844432,0.0036146106566533292,360,0.016676478443488407,0.00023081806712334476,-0.00023081806712334476,0.10656595882802036,0.01069691388019943,0.002777777777777778,0.01568727361433682,0.1301440535712858,0.09407907878311239,1.0666666666666667
7,constant,0.03,2.0,48,0.12048702188844432,0.0036146106566533292,360,0.033352956886976814,0.00046163613424669045,-0.00046163613424669045,0.12693054534140186,0.020364586513381494,0.005555555555555556,0.01568727361433682,0.12940459872144897,0.09407907878311238,1.3333333333333333
8,constant,0.03,2.0,48,0.12048702188844432,0.0036146106566533292,360,0.0,0.0,-0.0,0.12693054534140186,0.0,0.0,0.01568727361433682,0.12940459872144897,0.09407907878311238,1.3333333333333333
9,constant,0.03,2.0,48,0.12048702188844432,0.0036146106566533292,360,0.016676478443488407,0.00023081806712334476,-0.00023081806712334476,0.13666806242396498,0.009737517082563124,0.002777777777777778,0.01568727361433682,0.12903487129653055,0.09407907878311238,1.4666666666666666
