profile,scale,phi_total,phi_target,Lambda_numerical,Lambda_theory,rel_error,rel_error_pct
constant,0.6473232775566669,2.483199244989045,2.4831992449890534,0.3373029425903257,0.33730294259032567,1.6457357532951982e-16,1.645735753295198e-14
gaussian,2.830437748401162,2.4831992449890543,2.4831992449890534,0.33730294259032206,0.3373029425903217,1.1520150273066524e-15,1.1520150273066523e-13
oscillating,5.050264988991101,2.4831992449890525,2.4831992449890534,0.3373029425903231,0.3373029425903224,2.1394564792837783e-15,2.1394564792837783e-13
